0;"Купить молоко";Completed;2026-03-03T21:47:36.7321555+03:00
1;"Открыть молоко";Completed;2026-03-03T20:44:27.9476907+03:00
2;"Выпить молоко";InProgress;2026-03-03T20:57:13.9196067+03:00
3;"Поехать на дачу";InProgress;2026-03-03T20:09:07.7152287+03:00
4;"Купить пиво";NotStarted;2026-03-03T19:56:35.9310165+03:00
5;"Найти X";NotStarted;2026-03-03T20:25:17.8900511+03:00
6;"Найти Y";NotStarted;2026-03-03T20:25:28.5234437+03:00
7;"Найти Z";NotStarted;2026-03-03T21:03:39.6505944+03:00
8;"Текст с ; и ""кавычками""";NotStarted;2026-03-03T21:31:53.8704332+03:00
9;"aaa";NotStarted;2026-03-03T21:49:49.9770884+03:00
